
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-04-25 00:00:00,-8.30,-9.50,-1.00,1.00,-1.50,0.40,235.80,-124.30,282.30,0.20,0.00,0.00
2019-04-25 00:01:00,-8.30,-9.40,-1.00,0.90,-1.60,0.30,236.20,-123.90,282.30,0.30,0.00,0.00
2019-04-25 00:02:00,-8.20,-9.40,-1.00,0.90,-1.60,0.20,236.50,-123.60,282.30,0.30,0.00,0.00
2019-04-25 00:03:00,-8.20,-9.40,-0.90,0.90,-1.60,0.30,237.70,-122.50,282.30,0.20,0.00,0.00
2019-04-25 00:04:00,-8.10,-9.30,-0.70,1.10,-1.50,0.50,237.10,-123.20,282.30,0.00,0.00,0.00
2019-04-25 00:05:00,-8.00,-9.20,-0.50,1.20,-1.30,0.60,236.80,-123.70,282.40,0.00,0.00,0.00
2019-04-25 00:06:00,-8.00,-9.20,-0.60,1.20,-1.30,0.60,236.30,-124.30,282.40,0.10,0.00,0.00
2019-04-25 00:07:00,-8.10,-9.20,-0.80,1.20,-1.30,0.60,235.70,-125.00,282.40,0.20,0.00,0.00
2019-04-25 00:08:00,-8.20,-9.30,-0.90,1.10,-1.40,0.50,235.20,-125.60,282.40,0.20,0.00,0.00
2019-04-25 00:09:00,-8.20,-9.30,-1.20,1.00,-1.60,0.40,235.70,-125.10,282.40,0.30,0.00,0.00
2019-04-25 00:10:00,-8.20,-9.30,-1.30,0.90,-1.80,0.30,236.10,-124.80,282.40,0.20,0.00,0.00
2019-04-25 00:11:00,-8.30,-9.40,-1.40,0.90,-1.90,0.20,235.50,-125.50,282.50,0.20,0.00,0.00
2019-04-25 00:12:00,-8.30,-9.40,-1.40,0.80,-2.00,0.20,236.00,-125.00,282.50,0.20,0.00,0.00
2019-04-25 00:13:00,-8.30,-9.40,-1.40,0.80,-2.00,0.20,235.50,-125.50,282.50,0.20,0.00,0.00
2019-04-25 00:14:00,-8.30,-9.40,-1.30,0.80,-2.00,0.20,236.70,-124.30,282.50,0.40,0.00,0.00
2019-04-25 00:15:00,-8.20,-9.40,-1.10,0.90,-1.90,0.30,236.60,-124.50,282.50,0.10,0.00,0.00
2019-04-25 00:16:00,-8.20,-9.30,-1.00,0.90,-1.80,0.40,236.20,-125.10,282.50,0.20,0.00,0.00
2019-04-25 00:17:00,-8.20,-9.30,-1.00,0.90,-1.70,0.40,235.00,-126.30,282.50,0.10,0.00,0.00
2019-04-25 00:18:00,-8.30,-9.40,-1.10,0.90,-1.70,0.30,235.30,-126.00,282.50,0.40,0.00,0.00
2019-04-25 00:19:00,-8.30,-9.40,-1.10,0.90,-1.70,0.30,235.80,-125.50,282.50,0.40,0.00,0.00
2019-04-25 00:20:00,-8.20,-9.40,-1.10,0.90,-1.70,0.40,235.80,-125.60,282.50,0.30,0.00,0.00
2019-04-25 00:21:00,-8.10,-9.30,-1.20,0.90,-1.70,0.40,235.30,-126.10,282.60,0.30,0.00,0.00
2019-04-25 00:22:00,-8.10,-9.30,-1.20,0.90,-1.80,0.30,235.60,-125.80,282.60,0.20,0.00,0.00
2019-04-25 00:23:00,-8.20,-9.30,-1.20,0.90,-1.80,0.30,235.70,-125.80,282.60,0.40,0.00,0.00
