
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-01-13 00:00:00,-7.00,-7.90,0.60,1.10,0.50,1.10,157.70,-132.30,267.40,0.80,0.00,0.00
2019-01-13 00:01:00,-7.10,-8.00,0.50,1.00,0.40,1.10,158.70,-131.20,267.40,1.00,0.00,0.00
2019-01-13 00:02:00,-7.10,-8.10,0.50,1.10,0.40,1.10,157.80,-132.10,267.40,0.70,0.00,0.00
2019-01-13 00:03:00,-7.20,-8.10,0.50,1.00,0.30,1.10,158.40,-131.40,267.40,0.80,0.00,0.00
2019-01-13 00:04:00,-7.10,-8.00,0.40,1.00,0.20,0.90,158.50,-131.40,267.40,0.90,0.00,0.00
2019-01-13 00:05:00,-7.10,-7.90,0.30,1.00,0.10,1.00,158.00,-131.70,267.40,0.80,0.00,0.00
2019-01-13 00:06:00,-7.10,-7.90,0.30,0.90,0.20,1.00,158.00,-131.70,267.40,1.00,0.00,0.00
2019-01-13 00:07:00,-7.00,-7.90,0.30,0.80,0.20,0.80,158.20,-131.50,267.30,0.80,0.00,0.00
2019-01-13 00:08:00,-7.00,-7.90,0.30,0.70,0.20,0.70,158.00,-131.60,267.30,0.70,0.00,0.00
2019-01-13 00:09:00,-7.00,-7.90,0.20,0.60,0.10,0.60,157.90,-131.70,267.30,0.70,0.00,0.00
2019-01-13 00:10:00,-7.00,-7.90,0.00,0.40,0.10,0.40,157.50,-132.10,267.30,0.90,0.00,0.00
2019-01-13 00:11:00,-7.00,-7.80,-0.20,0.30,-0.10,0.20,157.90,-131.60,267.30,1.10,0.00,0.00
2019-01-13 00:12:00,-7.00,-7.80,-0.10,0.40,-0.10,0.30,158.70,-130.80,267.30,0.90,0.00,0.00
2019-01-13 00:13:00,-6.90,-7.80,0.20,0.70,0.20,0.70,158.30,-131.20,267.30,0.80,0.00,0.00
2019-01-13 00:14:00,-6.90,-7.80,0.30,1.00,0.40,1.10,158.10,-131.40,267.30,0.60,0.00,0.00
2019-01-13 00:15:00,-6.80,-7.70,0.50,1.30,0.50,1.40,158.50,-131.00,267.30,0.80,0.00,0.00
2019-01-13 00:16:00,-6.80,-7.70,0.70,1.50,0.60,1.70,158.20,-131.30,267.30,0.50,0.00,0.00
2019-01-13 00:17:00,-6.90,-7.80,0.70,1.60,0.60,1.80,157.80,-131.70,267.30,0.70,0.00,0.00
2019-01-13 00:18:00,-6.90,-7.80,0.60,1.50,0.60,1.60,157.50,-132.00,267.30,0.80,0.10,0.00
2019-01-13 00:19:00,-6.90,-7.80,0.30,1.30,0.50,1.30,157.70,-131.80,267.30,0.90,0.00,0.00
2019-01-13 00:20:00,-6.90,-7.80,0.40,1.40,0.20,1.30,157.60,-131.90,267.30,0.80,0.00,0.00
2019-01-13 00:21:00,-6.90,-7.80,0.70,1.50,0.30,1.60,157.70,-131.80,267.30,0.90,0.00,0.00
2019-01-13 00:22:00,-6.90,-7.80,0.80,1.60,0.60,1.70,157.30,-132.30,267.30,0.40,0.00,0.00
2019-01-13 00:23:00,-6.90,-7.80,0.70,1.60,0.70,1.60,157.30,-132.20,267.30,0.90,0.00,0.00
2019-01-13 00:24:00,-7.00,-7.90,0.70,1.60,0.60,1.50,157.20,-132.30,267.30,0.80,0.00,0.00
2019-01-13 00:25:00,-7.00,-7.90,0.60,1.60,0.60,1.40,157.50,-131.90,267.30,0.70,0.00,0.00
2019-01-13 00:26:00,-7.00,-7.90,0.40,1.60,0.50,1.30,157.10,-132.40,267.30,1.00,0.00,0.00
2019-01-13 00:27:00,-7.00,-7.90,0.40,1.60,0.40,1.30,156.90,-132.50,267.30,0.90,0.00,0.00
2019-01-13 00:28:00,-7.00,-7.90,0.40,1.60,0.30,1.40,157.30,-132.10,267.30,0.50,0.00,0.00
2019-01-13 00:29:00,-6.90,-7.80,0.50,1.60,0.40,1.40,157.00,-132.40,267.30,0.80,0.00,0.00
2019-01-13 00:30:00,-6.90,-7.80,0.40,1.50,0.40,1.30,156.80,-132.50,267.30,0.90,0.00,0.00
2019-01-13 00:31:00,-6.90,-7.80,0.20,1.40,0.30,1.30,156.10,-133.20,267.20,1.10,0.00,0.00
2019-01-13 00:32:00,-6.90,-7.80,0.10,1.30,0.20,1.10,156.60,-132.60,267.20,1.00,0.00,0.00
2019-01-13 00:33:00,-6.90,-7.80,0.00,1.30,0.10,1.10,156.70,-132.50,267.20,0.90,0.00,0.00
2019-01-13 00:34:00,-6.90,-7.80,0.10,1.40,0.20,1.30,157.10,-132.00,267.20,0.90,0.00,0.00
2019-01-13 00:35:00,-6.80,-7.80,0.30,1.50,0.30,1.50,156.80,-132.40,267.20,0.80,0.00,0.00
2019-01-13 00:36:00,-6.90,-7.80,0.50,1.50,0.40,1.60,156.70,-132.50,267.20,0.80,0.00,0.00
2019-01-13 00:37:00,-6.80,-7.80,0.40,1.50,0.50,1.50,157.00,-132.10,267.20,1.00,0.00,0.00
2019-01-13 00:38:00,-6.80,-7.70,0.30,1.40,0.50,1.30,156.90,-132.20,267.20,0.90,0.00,0.00
2019-01-13 00:39:00,-6.80,-7.70,0.20,1.30,0.40,1.10,156.90,-132.30,267.20,1.20,0.00,0.00
2019-01-13 00:40:00,-6.80,-7.70,0.10,1.20,0.40,1.00,156.50,-132.60,267.20,1.10,0.00,0.00
2019-01-13 00:41:00,-6.80,-7.70,0.30,1.20,0.30,1.00,156.00,-133.20,267.20,1.00,0.00,0.00
2019-01-13 00:42:00,-6.90,-7.80,0.50,1.30,0.40,1.10,156.10,-133.10,267.20,0.90,0.00,0.00
2019-01-13 00:43:00,-6.90,-7.80,0.70,1.40,0.60,1.20,156.20,-132.90,267.20,0.70,0.00,0.00
2019-01-13 00:44:00,-6.90,-7.80,0.80,1.50,0.70,1.30,156.60,-132.60,267.20,0.80,0.00,0.00
2019-01-13 00:45:00,-6.80,-7.80,0.80,1.60,0.80,1.40,156.30,-132.90,267.20,0.70,0.00,0.00
2019-01-13 00:46:00,-6.80,-7.80,0.70,1.60,0.70,1.40,157.10,-132.10,267.20,0.70,0.00,0.00
2019-01-13 00:47:00,-6.80,-7.70,0.50,1.60,0.60,1.40,156.80,-132.50,267.20,0.90,0.00,0.00
2019-01-13 00:48:00,-6.80,-7.70,0.40,1.60,0.60,1.40,156.50,-132.80,267.30,0.80,0.00,0.00
2019-01-13 00:49:00,-6.80,-7.70,0.50,1.50,0.60,1.30,156.30,-133.00,267.30,0.70,0.00,0.00
2019-01-13 00:50:00,-6.80,-7.70,0.70,1.50,0.70,1.30,155.00,-134.30,267.30,0.80,0.00,0.00
2019-01-13 00:51:00,-6.80,-7.80,0.70,1.60,0.80,1.30,154.40,-134.90,267.30,1.00,0.00,0.00
2019-01-13 00:52:00,-6.90,-7.80,0.80,1.60,0.80,1.30,154.70,-134.50,267.20,0.80,0.00,0.00
2019-01-13 00:53:00,-7.00,-7.90,0.70,1.60,0.80,1.30,154.70,-134.50,267.20,0.90,0.00,0.00
2019-01-13 00:54:00,-6.90,-7.90,0.50,1.30,0.80,1.10,155.10,-134.00,267.20,0.90,0.00,0.00
2019-01-13 00:55:00,-6.90,-7.80,0.50,1.20,0.70,0.80,154.90,-134.20,267.20,0.70,0.00,0.00
2019-01-13 00:56:00,-6.90,-7.80,0.50,1.30,0.70,0.90,155.00,-134.00,267.20,0.70,0.00,0.00
2019-01-13 00:57:00,-6.90,-7.80,0.60,1.50,0.80,1.10,155.10,-133.90,267.20,0.80,0.00,0.00
2019-01-13 00:58:00,-6.90,-7.80,0.70,1.60,0.80,1.20,154.60,-134.40,267.20,0.90,0.00,0.00
2019-01-13 00:59:00,-6.90,-7.80,0.80,1.70,0.90,1.40,155.40,-133.50,267.20,1.00,0.00,0.00
2019-01-13 01:00:00,-6.90,-7.80,0.90,1.80,0.90,1.40,156.10,-132.80,267.20,0.90,0.00,0.00
2019-01-13 01:01:00,-6.90,-7.90,1.10,2.00,0.80,1.60,155.00,-133.80,267.10,0.90,0.00,0.00
2019-01-13 01:02:00,-6.90,-7.90,1.10,2.00,1.00,1.80,154.30,-134.40,267.10,0.80,0.00,0.00
2019-01-13 01:03:00,-7.00,-7.90,1.10,1.90,1.10,1.70,154.40,-134.30,267.10,0.60,0.00,0.00
2019-01-13 01:04:00,-7.00,-7.90,0.90,1.90,1.00,1.60,155.00,-133.60,267.10,0.60,0.00,0.00
2019-01-13 01:05:00,-6.90,-7.90,0.80,1.90,0.80,1.50,155.80,-132.80,267.10,0.80,0.00,0.00
2019-01-13 01:06:00,-6.90,-7.90,0.80,1.90,0.70,1.60,155.90,-132.70,267.10,0.50,0.00,0.00
2019-01-13 01:07:00,-6.90,-8.00,1.00,2.00,0.70,1.70,156.00,-132.70,267.10,0.50,0.00,0.00
2019-01-13 01:08:00,-6.80,-7.90,1.10,1.90,0.60,1.70,155.50,-133.20,267.10,0.50,0.00,0.00
2019-01-13 01:09:00,-6.90,-8.00,1.00,1.70,0.70,1.50,156.00,-132.80,267.10,0.70,0.00,0.00
2019-01-13 01:10:00,-6.90,-8.00,1.10,1.70,0.70,1.40,156.00,-132.80,267.20,0.40,0.00,0.00
2019-01-13 01:11:00,-6.90,-8.10,1.20,1.90,0.50,1.60,155.80,-133.20,267.20,0.40,0.00,0.00
2019-01-13 01:12:00,-6.90,-8.10,1.20,2.00,0.50,1.80,155.70,-133.30,267.20,0.10,0.00,0.00
2019-01-13 01:13:00,-6.90,-8.00,1.20,2.00,0.60,1.80,155.50,-133.60,267.20,0.40,0.00,0.00
2019-01-13 01:14:00,-6.80,-7.90,0.90,1.80,0.70,1.70,155.60,-133.70,267.20,0.50,0.00,0.00
2019-01-13 01:15:00,-6.80,-7.80,0.60,1.70,0.70,1.50,155.80,-133.50,267.30,0.70,0.00,0.00
2019-01-13 01:16:00,-6.80,-7.80,0.60,1.60,0.50,1.40,155.80,-133.60,267.30,1.00,0.00,0.00
2019-01-13 01:17:00,-6.90,-8.00,0.70,1.70,0.40,1.40,156.10,-133.30,267.30,0.70,0.00,0.00
