
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-06-08 00:00:00,-8.60,-9.70,-0.80,0.50,-1.10,0.30,202.80,-130.40,276.90,1.10,0.00,0.00
2019-06-08 00:01:00,-9.00,-10.10,-0.70,0.50,-1.00,0.20,201.30,-131.60,276.80,1.00,0.00,0.00
2019-06-08 00:02:00,-9.00,-10.20,-0.60,0.50,-1.00,0.30,201.50,-131.30,276.80,0.90,0.00,0.00
2019-06-08 00:03:00,-8.90,-10.20,-0.60,0.60,-0.90,0.40,202.20,-130.40,276.80,0.80,0.00,0.00
2019-06-08 00:04:00,-8.70,-9.90,-0.60,0.60,-0.90,0.40,202.60,-129.90,276.70,0.90,0.00,0.00
2019-06-08 00:05:00,-8.70,-9.90,-0.60,0.60,-0.90,0.40,201.60,-130.70,276.70,0.80,0.00,0.00
2019-06-08 00:06:00,-8.80,-9.90,-0.60,0.50,-0.90,0.30,200.40,-131.80,276.70,0.70,0.00,0.00
2019-06-08 00:07:00,-8.90,-10.10,-0.60,0.50,-0.90,0.30,200.70,-131.30,276.60,0.90,0.00,0.00
2019-06-08 00:08:00,-9.10,-10.30,-0.60,0.50,-0.90,0.30,200.50,-131.40,276.60,0.70,0.00,0.00
2019-06-08 00:09:00,-9.10,-10.30,-0.60,0.50,-0.90,0.30,200.20,-131.50,276.60,0.40,0.00,0.00
2019-06-08 00:10:00,-9.00,-10.20,-0.60,0.50,-0.80,0.30,200.30,-131.40,276.50,0.80,0.00,0.00
2019-06-08 00:11:00,-9.00,-10.40,-0.50,0.60,-0.80,0.40,200.10,-131.40,276.50,0.40,0.00,0.00
2019-06-08 00:12:00,-9.00,-10.50,-0.40,0.60,-0.70,0.50,200.30,-131.10,276.50,0.50,0.00,0.00
2019-06-08 00:13:00,-8.80,-10.20,-0.50,0.70,-0.70,0.50,199.70,-131.70,276.50,0.70,0.00,0.00
2019-06-08 00:14:00,-8.60,-9.90,-0.50,0.70,-0.80,0.50,200.10,-131.10,276.50,0.80,0.00,0.00
2019-06-08 00:15:00,-8.50,-9.80,-0.60,0.70,-0.80,0.50,199.70,-131.40,276.40,0.90,0.00,0.00
2019-06-08 00:16:00,-8.40,-9.70,-0.60,0.70,-0.90,0.50,199.30,-131.70,276.40,0.70,0.00,0.00
2019-06-08 00:17:00,-8.20,-9.50,-0.60,0.60,-0.90,0.40,199.40,-131.50,276.40,0.90,0.00,0.00
2019-06-08 00:18:00,-8.30,-9.50,-0.60,0.60,-0.90,0.40,198.90,-131.90,276.40,1.10,0.00,0.00
2019-06-08 00:19:00,-8.50,-9.70,-0.70,0.60,-1.00,0.40,198.70,-131.90,276.30,0.90,0.00,0.00
2019-06-08 00:20:00,-8.60,-9.80,-0.70,0.60,-1.00,0.40,198.30,-132.20,276.30,0.80,0.00,0.00
2019-06-08 00:21:00,-8.90,-10.20,-0.60,0.60,-0.90,0.40,198.20,-132.20,276.30,0.80,0.00,0.00
2019-06-08 00:22:00,-9.40,-10.70,-0.60,0.70,-0.90,0.40,198.30,-132.00,276.30,0.80,0.00,0.00
