
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-06-18 00:00:00,-8.30,-9.60,-0.80,1.10,-1.30,0.60,247.40,-120.10,283.70,0.10,0.00,0.00
2019-06-18 00:01:00,-8.20,-9.40,-0.60,1.40,-1.20,0.80,246.90,-120.60,283.70,0.10,0.00,0.00
2019-06-18 00:02:00,-8.10,-9.30,-0.70,1.40,-1.20,0.90,247.20,-120.30,283.70,0.10,0.00,0.00
2019-06-18 00:03:00,-8.00,-9.20,-0.70,1.30,-1.20,0.80,247.30,-120.20,283.70,0.10,0.00,0.00
2019-06-18 00:04:00,-7.90,-9.10,-0.70,1.30,-1.30,0.70,247.40,-120.20,283.70,0.10,0.00,0.00
2019-06-18 00:05:00,-8.00,-9.30,-0.70,1.30,-1.30,0.70,248.20,-119.40,283.70,0.10,0.00,0.00
2019-06-18 00:06:00,-8.00,-9.30,-0.60,1.30,-1.20,0.80,247.20,-120.30,283.70,0.10,0.00,0.00
2019-06-18 00:07:00,-8.00,-9.20,-0.70,1.20,-1.20,0.70,247.10,-120.50,283.80,0.10,0.00,0.00
2019-06-18 00:08:00,-7.90,-9.00,-0.70,1.10,-1.30,0.50,247.10,-120.50,283.80,0.20,0.00,0.00
2019-06-18 00:09:00,-7.80,-9.00,-0.80,1.00,-1.30,0.40,247.20,-120.40,283.80,0.20,0.00,0.00
2019-06-18 00:10:00,-7.80,-8.90,-0.90,0.90,-1.50,0.30,246.80,-120.80,283.80,0.30,0.00,0.00
2019-06-18 00:11:00,-7.70,-8.90,-1.10,0.80,-1.60,0.20,247.30,-120.30,283.70,0.20,0.00,0.00
2019-06-18 00:12:00,-7.70,-8.90,-1.00,0.90,-1.60,0.20,247.60,-120.00,283.70,0.40,0.00,0.00
2019-06-18 00:13:00,-7.70,-8.90,-0.90,1.00,-1.60,0.40,248.20,-119.40,283.80,0.10,0.00,0.00
