
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-06-11 00:00:00,-8.40,-9.60,-2.20,0.60,-3.30,,245.40,-135.70,286.30,0.30,0.00,0.00
2019-06-11 00:01:00,-8.50,-9.70,-2.00,0.80,-3.00,0.10,245.10,-136.00,286.30,0.20,0.00,0.00
2019-06-11 00:02:00,-8.80,-9.90,-1.80,0.90,-2.90,0.20,244.50,-136.60,286.30,0.20,0.00,0.00
2019-06-11 00:03:00,-8.90,-10.00,-1.80,0.90,-2.80,0.20,244.50,-136.60,286.30,0.10,0.00,0.00
2019-06-11 00:04:00,-8.90,-10.10,-1.80,0.90,-2.80,0.20,245.00,-136.00,286.30,0.30,0.00,0.00
2019-06-11 00:05:00,-9.00,-10.20,-1.70,0.80,-2.70,0.10,245.20,-135.80,286.30,0.10,0.00,0.00
2019-06-11 00:06:00,-9.10,-10.30,-1.70,0.60,-2.70,0.00,244.60,-136.40,286.30,0.00,0.00,0.00
2019-06-11 00:07:00,-9.10,-10.30,-1.80,0.50,-2.70,,243.70,-137.20,286.30,0.20,0.00,0.00
2019-06-11 00:08:00,-9.30,-10.40,-2.00,0.50,-2.80,,243.70,-137.20,286.30,0.20,0.00,0.00
2019-06-11 00:09:00,-9.30,-10.40,-2.00,0.50,-2.90,,244.80,-135.90,286.30,0.20,0.00,0.00
2019-06-11 00:10:00,-9.20,-10.40,-1.90,0.60,-2.80,,243.50,-137.10,286.20,0.10,0.00,0.00
2019-06-11 00:11:00,-9.30,-10.50,-1.90,0.60,-2.80,0.00,244.10,-136.50,286.20,0.20,0.00,0.00
2019-06-11 00:12:00,-9.30,-10.50,-1.90,0.70,-2.70,0.00,243.30,-137.20,286.20,0.20,0.00,0.00
2019-06-11 00:13:00,-9.20,-10.40,-1.90,0.70,-2.80,0.00,244.50,-135.80,286.20,0.40,0.00,0.00
