
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-04-21 00:00:00,-7.80,-8.90,-0.20,,0.00,0.20,278.80,-36.00,273.00,0.60,0.00,0.00
2019-04-21 00:01:00,-7.40,-8.50,-0.20,,0.00,0.20,281.70,-33.10,273.00,0.30,0.00,0.00
2019-04-21 00:02:00,-7.20,-8.40,-0.30,,0.00,0.30,230.50,-84.40,273.00,0.30,0.00,0.00
2019-04-21 00:03:00,-7.50,-8.60,-0.30,,0.10,0.30,207.20,-107.70,273.00,0.70,0.00,0.00
2019-04-21 00:04:00,-7.70,-8.80,-0.30,,0.10,0.40,211.60,-103.30,273.00,0.90,0.00,0.00
2019-04-21 00:05:00,-8.00,-9.10,-0.40,,0.20,0.50,216.20,-98.60,273.00,0.60,0.00,0.00
2019-04-21 00:06:00,-8.30,-9.40,-0.50,,0.10,0.50,219.60,-95.30,273.00,0.70,0.00,0.00
2019-04-21 00:07:00,-8.60,-9.60,-0.50,,0.10,0.50,215.50,-99.40,273.00,0.70,0.00,0.00
2019-04-21 00:08:00,-8.60,-9.70,-0.50,,0.10,0.50,242.70,-72.30,273.00,0.80,0.00,0.00
2019-04-21 00:09:00,-8.40,-9.50,-0.40,,0.10,0.40,251.70,-63.20,273.00,0.60,0.00,0.00
2019-04-21 00:10:00,-7.90,-9.00,-0.40,,0.00,0.30,261.50,-53.50,273.00,0.70,0.00,0.00
2019-04-21 00:11:00,-6.80,-7.90,-0.40,,0.00,0.30,263.60,-51.40,273.00,0.60,0.00,0.00
2019-04-21 00:12:00,-6.30,-7.30,-0.50,,0.00,0.30,243.50,-71.60,273.00,0.70,0.00,0.00
2019-04-21 00:13:00,-6.20,-7.10,-0.50,,0.00,0.40,248.10,-67.00,273.00,1.00,0.00,0.00
2019-04-21 00:14:00,-6.10,-7.10,-0.50,,0.00,0.40,257.20,-58.00,273.00,0.80,0.00,0.00
2019-04-21 00:15:00,-6.20,-7.20,-0.50,,0.00,0.30,257.60,-57.60,273.10,0.70,0.00,0.00
2019-04-21 00:16:00,-6.30,-7.40,-0.50,,0.00,0.40,278.20,-37.00,273.10,0.60,0.00,0.00
2019-04-21 00:17:00,-6.00,-7.10,-0.50,,0.00,0.30,281.20,-34.20,273.10,0.40,0.00,0.00
2019-04-21 00:18:00,-5.70,-6.80,-0.50,,0.00,0.30,272.60,-42.80,273.10,0.40,0.00,0.00
2019-04-21 00:19:00,-5.80,-6.80,-0.40,,0.00,0.30,270.10,-45.40,273.10,0.30,0.00,0.00
2019-04-21 00:20:00,-5.80,-6.80,-0.40,,0.00,0.30,280.70,-34.90,273.10,0.60,0.00,0.00
2019-04-21 00:21:00,-5.80,-6.70,-0.40,,0.00,0.30,281.60,-34.00,273.10,0.40,0.00,0.00
2019-04-21 00:22:00,-6.30,-7.30,-0.30,,0.00,0.20,267.40,-48.30,273.10,0.50,0.00,0.00
2019-04-21 00:23:00,-7.40,-8.40,-0.30,,0.00,0.20,254.50,-61.10,273.10,0.50,0.00,0.00
2019-04-21 00:24:00,-7.90,-9.10,-0.40,,0.00,0.30,258.30,-57.40,273.10,0.50,0.00,0.00
2019-04-21 00:25:00,-7.70,-9.00,-0.40,,0.10,0.30,269.80,-45.90,273.20,0.50,0.00,0.00
2019-04-21 00:26:00,-7.60,-8.80,-0.40,,0.00,0.30,267.10,-48.60,273.20,0.50,0.00,0.00
2019-04-21 00:27:00,-7.80,-9.00,-0.40,,0.00,0.20,275.30,-40.40,273.20,0.80,0.00,0.00
2019-04-21 00:28:00,-7.80,-9.10,-0.40,,0.00,0.20,276.50,-39.20,273.20,0.60,0.00,0.00
2019-04-21 00:29:00,-7.90,-9.20,-0.40,,0.00,0.20,280.10,-35.60,273.20,0.50,0.00,0.00
2019-04-21 00:30:00,-8.20,-9.40,-0.30,,0.00,0.20,249.40,-66.20,273.10,0.70,0.00,0.00
2019-04-21 00:31:00,-8.50,-9.70,-0.20,,0.10,0.20,245.50,-70.00,273.10,0.70,0.00,0.00
2019-04-21 00:32:00,-8.70,-10.00,-0.20,,0.10,0.20,224.10,-91.40,273.10,1.00,0.00,0.00
2019-04-21 00:33:00,-9.20,-10.50,-0.20,,0.10,0.20,200.10,-115.30,273.10,1.20,0.00,0.00
2019-04-21 00:34:00,-9.60,-10.90,-0.20,,0.10,0.20,224.80,-90.50,273.10,1.30,0.10,0.00
2019-04-21 00:35:00,-9.80,-11.10,-0.20,,0.10,0.30,223.60,-91.50,273.00,1.20,0.00,0.00
2019-04-21 00:36:00,-9.80,-11.00,-0.20,,0.10,0.20,270.20,-44.80,273.00,1.00,0.00,0.00
2019-04-21 00:37:00,-9.50,-10.70,-0.20,,0.00,0.20,239.20,-75.70,273.00,1.10,0.00,0.00
2019-04-21 00:38:00,-9.40,-10.70,-0.20,,0.00,0.20,221.50,-93.30,273.00,0.80,0.00,0.00
2019-04-21 00:39:00,-9.70,-10.90,-0.10,,0.00,0.20,219.50,-95.10,272.90,1.00,0.00,0.00
2019-04-21 00:40:00,-9.90,-11.10,-0.10,,0.00,0.20,211.40,-102.90,272.90,0.90,0.00,0.00
2019-04-21 00:41:00,-10.10,-11.30,-0.10,0.00,0.00,0.20,212.90,-101.20,272.80,1.10,0.00,0.00
2019-04-21 00:42:00,-10.10,-11.30,-0.10,0.00,0.00,0.30,206.80,-107.10,272.80,0.90,0.00,0.00
2019-04-21 00:43:00,-10.00,-11.20,-0.10,0.00,0.00,0.30,223.00,-90.80,272.70,1.20,0.00,0.00
2019-04-21 00:44:00,-10.00,-11.20,-0.10,0.00,0.00,0.20,188.60,-125.00,272.70,1.00,0.00,0.00
2019-04-21 00:45:00,-10.00,-11.30,-0.20,,0.00,0.30,187.60,-125.80,272.70,0.90,0.00,0.00
2019-04-21 00:46:00,-10.10,-11.30,-0.20,,0.00,0.30,184.30,-128.90,272.60,0.90,0.00,0.00
2019-04-21 00:47:00,-10.10,-11.30,-0.30,,0.00,0.40,182.80,-130.20,272.60,1.00,0.00,0.00
2019-04-21 00:48:00,-10.20,-11.40,-0.40,,0.10,0.40,189.70,-123.20,272.50,1.00,0.00,0.00
2019-04-21 00:49:00,-10.30,-11.40,-0.40,,0.00,0.40,199.40,-113.30,272.50,0.70,0.00,0.00
2019-04-21 00:50:00,-10.20,-11.20,-0.30,,0.00,0.30,214.20,-98.40,272.50,0.70,0.00,0.00
2019-04-21 00:51:00,-10.00,-11.00,-0.20,,0.00,0.30,213.20,-99.20,272.40,0.80,0.00,0.00
2019-04-21 00:52:00,-9.90,-10.90,-0.20,,0.00,0.30,183.20,-129.00,272.40,0.90,0.00,0.00
2019-04-21 00:53:00,-9.90,-11.00,-0.20,,0.00,0.40,184.90,-127.30,272.40,0.70,0.00,0.00
2019-04-21 00:54:00,-9.90,-11.00,-0.30,,0.00,0.40,203.50,-108.60,272.40,1.00,0.00,0.00
2019-04-21 00:55:00,-9.80,-10.90,-0.30,,0.00,0.30,199.60,-112.40,272.40,0.80,0.00,0.00
2019-04-21 00:56:00,-9.70,-10.80,-0.20,,0.00,0.30,191.80,-120.10,272.30,0.90,0.00,0.00
2019-04-21 00:57:00,-9.70,-10.80,-0.30,,0.00,0.40,193.60,-118.20,272.30,0.90,0.00,0.00
2019-04-21 00:58:00,-9.70,-10.80,-0.30,,0.00,0.40,195.30,-116.40,272.30,0.70,0.00,0.00
2019-04-21 00:59:00,-9.60,-10.70,-0.30,,0.00,0.40,195.20,-116.40,272.30,0.80,0.00,0.00
2019-04-21 01:00:00,-9.50,-10.60,-0.30,,-0.10,0.40,185.50,-126.00,272.30,0.90,0.00,0.00
2019-04-21 01:01:00,-9.50,-10.60,-0.40,,0.00,0.50,188.80,-122.70,272.20,0.60,0.00,0.00
2019-04-21 01:02:00,-9.50,-10.60,-0.40,,0.00,0.50,192.20,-119.20,272.20,0.70,0.00,0.00
2019-04-21 01:03:00,-9.60,-10.60,-0.40,,0.00,0.40,191.00,-120.30,272.20,0.60,0.00,0.00
2019-04-21 01:04:00,-9.50,-10.60,-0.30,,0.00,0.40,201.30,-110.00,272.20,0.80,0.00,0.00
2019-04-21 01:05:00,-9.30,-10.40,-0.30,,0.00,0.40,231.80,-79.50,272.20,0.60,0.00,0.00
2019-04-21 01:06:00,-8.80,-9.90,-0.30,,-0.10,0.40,250.40,-60.90,272.20,0.40,0.00,0.00
2019-04-21 01:07:00,-8.50,-9.60,-0.20,,-0.10,0.30,227.80,-83.50,272.20,0.30,0.00,0.00
2019-04-21 01:08:00,-8.50,-9.60,-0.10,0.00,-0.20,0.30,206.70,-104.50,272.20,0.40,0.00,0.00
2019-04-21 01:09:00,-8.60,-9.60,-0.20,,-0.20,0.40,195.80,-115.40,272.20,0.40,0.00,0.00
2019-04-21 01:10:00,-8.60,-9.70,-0.20,,-0.10,0.50,233.50,-77.70,272.20,0.30,0.00,0.00
2019-04-21 01:11:00,-8.20,-9.30,-0.30,,-0.10,0.50,274.20,-37.00,272.20,0.20,0.00,0.00
2019-04-21 01:12:00,-7.80,-8.90,-0.30,,-0.10,0.40,222.70,-88.70,272.20,0.10,0.00,0.00
2019-04-21 01:13:00,-8.00,-9.10,-0.30,,-0.10,0.40,192.50,-118.90,272.20,0.30,0.00,0.00
2019-04-21 01:14:00,-8.60,-9.60,-0.30,,0.00,0.40,189.50,-122.00,272.20,0.60,0.00,0.00
2019-04-21 01:15:00,-9.00,-10.00,-0.30,,0.00,0.40,189.60,-121.90,272.20,0.90,0.00,0.00
2019-04-21 01:16:00,-9.30,-10.40,-0.30,,0.10,0.40,189.70,-121.70,272.20,1.10,0.00,0.00
2019-04-21 01:17:00,-9.60,-10.60,-0.20,,0.10,0.30,193.10,-118.20,272.20,1.00,0.00,0.00
2019-04-21 01:18:00,-9.60,-10.60,-0.20,0.00,0.10,0.30,192.80,-118.40,272.20,1.10,0.00,0.00
2019-04-21 01:19:00,-9.60,-10.70,-0.10,0.10,0.00,0.30,192.70,-118.40,272.20,0.80,0.00,0.00
2019-04-21 01:20:00,-9.60,-10.60,-0.10,0.10,0.00,0.30,191.80,-119.40,272.20,1.00,0.00,0.00
2019-04-21 01:21:00,-9.60,-10.60,-0.10,0.20,0.00,0.30,198.70,-112.40,272.10,1.00,0.00,0.00
2019-04-21 01:22:00,-9.50,-10.50,-0.10,0.20,-0.10,0.30,195.40,-115.60,272.10,0.70,0.00,0.00
2019-04-21 01:23:00,-9.50,-10.50,0.00,0.20,-0.10,0.30,190.00,-120.90,272.10,0.80,0.00,0.00
2019-04-21 01:24:00,-9.50,-10.50,0.00,0.20,-0.10,0.30,191.70,-119.20,272.10,0.90,0.00,0.00
2019-04-21 01:25:00,-9.40,-10.50,0.00,0.20,-0.10,0.30,203.20,-107.70,272.10,0.90,0.00,0.00
2019-04-21 01:26:00,-9.30,-10.40,-0.10,0.20,-0.10,0.30,202.00,-108.80,272.10,0.80,0.00,0.00
2019-04-21 01:27:00,-9.20,-10.30,0.00,0.20,-0.10,0.30,199.40,-111.40,272.10,0.60,0.00,0.00
2019-04-21 01:28:00,-9.20,-10.20,0.00,0.20,-0.10,0.30,194.60,-116.10,272.10,0.70,0.00,0.00
2019-04-21 01:29:00,-9.10,-10.20,0.00,0.20,-0.10,0.30,207.40,-103.30,272.10,0.60,0.00,0.00
2019-04-21 01:30:00,-9.00,-10.00,0.00,0.10,-0.10,0.30,217.60,-93.10,272.10,0.80,0.00,0.00
2019-04-21 01:31:00,-8.80,-9.80,0.00,0.20,-0.10,0.30,267.20,-43.50,272.10,0.20,0.00,0.00
2019-04-21 01:32:00,-8.40,-9.50,0.00,0.20,-0.20,0.20,223.20,-87.50,272.10,0.20,0.00,0.00
2019-04-21 01:33:00,-8.40,-9.40,0.00,0.20,-0.10,0.20,213.80,-96.90,272.10,0.30,0.00,0.00
2019-04-21 01:34:00,-8.50,-9.50,0.00,0.20,-0.10,0.30,206.20,-104.40,272.10,0.60,0.00,0.00
2019-04-21 01:35:00,-8.70,-9.70,0.00,0.10,-0.10,0.30,197.30,-113.40,272.10,0.70,0.00,0.00
2019-04-21 01:36:00,-8.70,-9.70,0.00,0.00,-0.10,0.40,239.50,-71.20,272.10,0.40,0.00,0.00
2019-04-21 01:37:00,-8.50,-9.60,-0.10,0.00,-0.10,0.30,208.20,-102.50,272.10,0.40,0.00,0.00
2019-04-21 01:38:00,-8.60,-9.60,-0.10,0.00,-0.10,0.30,204.40,-106.30,272.10,0.80,0.00,0.00
2019-04-21 01:39:00,-8.80,-9.80,-0.20,0.00,0.00,0.30,199.10,-111.60,272.10,0.90,0.00,0.00
2019-04-21 01:40:00,-8.90,-9.90,-0.20,,0.00,0.30,210.60,-100.10,272.10,0.90,0.00,0.00
2019-04-21 01:41:00,-8.90,-9.90,-0.20,,0.00,0.30,194.60,-116.10,272.10,0.70,0.00,0.00
2019-04-21 01:42:00,-9.00,-10.00,-0.20,,0.00,0.30,189.60,-121.00,272.00,1.00,0.00,0.00
2019-04-21 01:43:00,-9.10,-10.20,-0.30,,0.00,0.30,188.50,-122.10,272.00,0.90,0.00,0.00
2019-04-21 01:44:00,-9.30,-10.30,-0.30,,0.00,0.40,191.30,-119.20,272.00,1.20,0.00,0.00
2019-04-21 01:45:00,-9.30,-10.40,-0.30,,0.00,0.40,200.10,-110.40,272.00,1.00,0.00,0.00
2019-04-21 01:46:00,-9.10,-10.20,-0.30,,0.00,0.40,231.20,-79.30,272.00,0.90,0.00,0.00
2019-04-21 01:47:00,-8.80,-9.90,-0.30,,-0.10,0.40,209.90,-100.60,272.00,0.70,0.00,0.00
2019-04-21 01:48:00,-8.80,-9.80,-0.30,,-0.10,0.40,204.70,-105.70,272.00,0.50,0.00,0.00
2019-04-21 01:49:00,-8.80,-9.80,-0.30,,-0.10,0.40,208.70,-101.70,272.00,0.80,0.00,0.00
2019-04-21 01:50:00,-8.80,-9.80,-0.30,,0.00,0.40,196.00,-114.40,272.00,0.70,0.00,0.00
2019-04-21 01:51:00,-8.90,-10.00,-0.30,,0.00,0.40,190.40,-120.00,272.00,0.60,0.00,0.00
2019-04-21 01:52:00,-9.00,-10.10,-0.40,,0.00,0.50,190.80,-119.60,272.00,0.90,0.00,0.00
2019-04-21 01:53:00,-9.10,-10.10,-0.40,,0.00,0.40,198.30,-112.10,272.00,0.80,0.00,0.00
2019-04-21 01:54:00,-9.00,-10.10,-0.40,,0.00,0.40,201.00,-109.40,272.00,0.90,0.00,0.00
2019-04-21 01:55:00,-9.00,-10.00,-0.40,,-0.10,0.40,189.00,-121.40,272.00,0.90,0.00,0.00
2019-04-21 01:56:00,-9.10,-10.10,-0.40,,0.00,0.50,188.30,-122.20,272.00,0.80,0.00,0.00
2019-04-21 01:57:00,-9.10,-10.10,-0.40,,-0.10,0.50,195.50,-115.00,272.00,1.00,0.00,0.00
2019-04-21 01:58:00,-9.20,-10.20,-0.40,,0.00,0.50,193.10,-117.30,272.00,0.70,0.00,0.00
2019-04-21 01:59:00,-9.30,-10.30,-0.40,,-0.10,0.40,190.80,-119.60,272.00,0.80,0.00,0.00
2019-04-21 02:00:00,-9.20,-10.30,-0.40,,-0.10,0.40,190.70,-119.70,272.00,0.80,0.00,0.00
2019-04-21 02:01:00,-9.10,-10.20,-0.30,,-0.10,0.40,200.50,-110.00,272.00,0.80,0.00,0.00
2019-04-21 02:02:00,-9.00,-10.00,-0.30,,-0.10,0.50,200.40,-110.10,272.00,0.70,0.00,0.00
2019-04-21 02:03:00,-8.90,-10.00,-0.30,,-0.10,0.50,192.10,-118.40,272.00,0.80,0.00,0.00
2019-04-21 02:04:00,-9.00,-10.10,-0.30,,-0.10,0.50,188.60,-121.80,272.00,0.80,0.00,0.00
2019-04-21 02:05:00,-9.20,-10.20,-0.30,0.00,-0.10,0.40,191.10,-119.40,272.00,0.70,0.00,0.00
2019-04-21 02:06:00,-9.20,-10.20,-0.30,,-0.10,0.40,190.70,-119.70,272.00,1.00,0.00,0.00
2019-04-21 02:07:00,-9.20,-10.30,-0.40,,-0.10,0.50,190.80,-119.60,272.00,1.10,0.00,0.00
2019-04-21 02:08:00,-9.20,-10.30,-0.40,,-0.10,0.50,190.00,-120.40,272.00,0.70,0.00,0.00
2019-04-21 02:09:00,-9.20,-10.30,-0.40,,-0.10,0.50,189.40,-121.00,272.00,0.70,0.00,0.00
2019-04-21 02:10:00,-9.20,-10.20,-0.40,,-0.10,0.50,187.90,-122.50,272.00,0.80,0.00,0.00
2019-04-21 02:11:00,-9.20,-10.30,-0.40,,-0.10,0.50,187.40,-123.00,272.00,0.90,0.00,0.00
2019-04-21 02:12:00,-9.20,-10.20,-0.50,,-0.10,0.50,188.10,-122.30,272.00,0.60,0.00,0.00
2019-04-21 02:13:00,-9.10,-10.10,-0.50,,-0.10,0.50,190.00,-120.40,272.00,0.90,0.00,0.00
2019-04-21 02:14:00,-8.90,-9.90,-0.50,,-0.20,0.50,190.80,-119.70,272.00,0.60,0.00,0.00
2019-04-21 02:15:00,-8.80,-9.80,-0.50,,-0.20,0.60,192.90,-117.60,272.00,0.90,0.00,0.00
2019-04-21 02:16:00,-8.60,-9.60,-0.50,,-0.20,0.60,193.70,-116.80,272.00,0.70,0.00,0.00
2019-04-21 02:17:00,-8.60,-9.60,-0.60,,-0.20,0.70,192.30,-118.30,272.00,0.60,0.00,0.00
2019-04-21 02:18:00,-8.60,-9.60,-0.60,,-0.20,0.70,190.50,-120.20,272.10,0.60,0.00,0.00
2019-04-21 02:19:00,-8.60,-9.60,-0.60,,-0.20,0.70,189.20,-121.50,272.10,0.70,0.00,0.00
2019-04-21 02:20:00,-8.70,-9.70,-0.70,,-0.20,0.70,188.00,-122.80,272.10,0.50,0.00,0.00
2019-04-21 02:21:00,-8.80,-9.80,-0.70,,-0.20,0.70,186.80,-124.00,272.10,0.50,0.00,0.00
2019-04-21 02:22:00,-8.90,-10.00,-0.70,,-0.20,0.70,186.70,-124.20,272.10,0.60,0.00,0.00
2019-04-21 02:23:00,-8.90,-10.00,-0.80,,-0.20,0.60,186.60,-124.30,272.10,0.70,0.00,0.00
2019-04-21 02:24:00,-9.00,-10.00,-0.70,,-0.20,0.60,186.90,-124.00,272.10,0.80,0.00,0.00
2019-04-21 02:25:00,-9.00,-10.00,-0.70,,-0.20,0.60,186.30,-124.60,272.10,0.90,0.00,0.00
2019-04-21 02:26:00,-9.00,-10.00,-0.70,,-0.20,0.50,186.50,-124.40,272.10,0.80,0.00,0.00
2019-04-21 02:27:00,-9.00,-10.00,-0.70,,-0.20,0.60,186.50,-124.40,272.10,0.80,0.00,0.00
2019-04-21 02:28:00,-8.90,-10.00,-0.70,,-0.30,0.60,186.40,-124.60,272.10,0.80,0.00,0.00
2019-04-21 02:29:00,-9.00,-10.00,-0.70,,-0.30,0.50,185.90,-125.10,272.10,0.80,0.00,0.00
2019-04-21 02:30:00,-9.00,-10.10,-0.70,,-0.30,0.50,186.30,-124.60,272.10,0.90,0.00,0.00
2019-04-21 02:31:00,-9.00,-10.00,-0.60,,-0.30,0.60,186.60,-124.40,272.10,0.70,0.00,0.00
2019-04-21 02:32:00,-8.90,-9.90,-0.60,,-0.30,0.60,186.80,-124.20,272.10,0.60,0.00,0.00
2019-04-21 02:33:00,-8.80,-9.80,-0.60,,-0.30,0.60,186.50,-124.50,272.10,0.50,0.00,0.00
2019-04-21 02:34:00,-8.90,-9.90,-0.70,,-0.30,0.60,186.10,-124.90,272.10,0.60,0.00,0.00
2019-04-21 02:35:00,-8.90,-9.90,-0.70,,-0.30,0.60,186.60,-124.40,272.10,0.80,0.00,0.00
2019-04-21 02:36:00,-8.80,-9.80,-0.70,,-0.30,0.60,186.70,-124.30,272.10,0.60,0.00,0.00
2019-04-21 02:37:00,-8.80,-9.80,-0.70,,-0.30,0.60,186.20,-124.80,272.10,0.70,0.00,0.00
2019-04-21 02:38:00,-8.80,-9.80,-0.60,,-0.30,0.60,186.70,-124.40,272.10,1.10,0.00,0.00
2019-04-21 02:39:00,-8.80,-9.80,-0.60,,-0.30,0.60,186.50,-124.50,272.10,0.90,0.00,0.00
2019-04-21 02:40:00,-8.80,-9.80,-0.60,,-0.30,0.60,186.90,-124.20,272.10,0.60,0.00,0.00
2019-04-21 02:41:00,-8.70,-9.70,-0.70,,-0.30,0.70,187.10,-124.00,272.20,0.90,0.00,0.00
2019-04-21 02:42:00,-8.60,-9.50,-0.70,,-0.30,0.60,187.00,-124.10,272.20,0.80,0.00,0.00
2019-04-21 02:43:00,-8.70,-9.60,-0.70,,-0.40,0.60,186.70,-124.40,272.20,0.70,0.00,0.00
2019-04-21 02:44:00,-8.70,-9.70,-0.60,,-0.30,0.60,187.00,-124.10,272.20,0.90,0.00,0.00
2019-04-21 02:45:00,-8.60,-9.60,-0.60,,-0.30,0.60,188.00,-123.00,272.20,0.80,0.00,0.00
2019-04-21 02:46:00,-8.50,-9.40,-0.60,,-0.40,0.60,188.00,-123.10,272.20,0.70,0.00,0.00
2019-04-21 02:47:00,-8.40,-9.20,-0.60,,-0.30,0.60,187.70,-123.30,272.20,0.70,0.00,0.00
2019-04-21 02:48:00,-8.30,-9.20,-0.70,,-0.30,0.60,187.80,-123.30,272.20,0.80,0.00,0.00
2019-04-21 02:49:00,-8.30,-9.20,-0.70,,-0.30,0.60,188.40,-122.70,272.20,0.70,0.00,0.00
2019-04-21 02:50:00,-8.30,-9.20,-0.60,,-0.30,0.60,188.70,-122.40,272.20,1.10,0.00,0.00
2019-04-21 02:51:00,-8.30,-9.20,-0.70,,-0.30,0.60,188.40,-122.70,272.20,0.80,0.00,0.00
2019-04-21 02:52:00,-8.40,-9.30,-0.60,,-0.40,0.60,188.40,-122.70,272.20,0.70,0.00,0.00
2019-04-21 02:53:00,-8.50,-9.40,-0.60,,-0.40,0.70,188.80,-122.30,272.20,0.40,0.00,0.00
2019-04-21 02:54:00,-8.50,-9.50,-0.60,,-0.40,0.70,189.30,-121.80,272.20,0.40,0.00,0.00
2019-04-21 02:55:00,-8.60,-9.60,-0.60,,-0.40,0.80,189.00,-122.10,272.20,0.20,0.00,0.00
2019-04-21 02:56:00,-8.70,-9.70,-0.60,,-0.40,0.80,188.90,-122.20,272.20,0.50,0.00,0.00
2019-04-21 02:57:00,-8.60,-9.70,-0.60,,-0.40,0.70,188.80,-122.30,272.20,0.40,0.00,0.00
2019-04-21 02:58:00,-8.70,-9.70,-0.60,,-0.30,0.70,188.60,-122.50,272.20,0.40,0.00,0.00
2019-04-21 02:59:00,-8.80,-9.90,-0.50,0.00,-0.30,0.70,188.00,-123.10,272.20,0.50,0.00,0.00
2019-04-21 03:00:00,-9.00,-10.10,-0.50,0.00,-0.40,0.60,190.40,-120.70,272.10,0.40,0.00,0.00
2019-04-21 03:01:00,-9.00,-10.10,-0.40,0.10,-0.30,0.70,190.40,-120.60,272.10,0.60,0.00,0.00
2019-04-21 03:02:00,-9.10,-10.20,-0.40,0.10,-0.30,0.60,188.90,-122.10,272.10,0.50,0.00,0.00
2019-04-21 03:03:00,-9.10,-10.20,-0.40,0.20,-0.30,0.70,189.40,-121.60,272.10,0.40,0.00,0.00
2019-04-21 03:04:00,-9.00,-10.10,-0.40,0.10,-0.30,0.70,189.10,-121.90,272.10,0.50,0.00,0.00
2019-04-21 03:05:00,-9.00,-10.10,-0.40,0.10,-0.30,0.70,189.10,-121.90,272.10,0.70,0.00,0.00
2019-04-21 03:06:00,-9.00,-10.10,-0.40,0.10,-0.30,0.70,188.40,-122.70,272.10,0.50,0.00,0.00
