
MeasDateTime,upward looking solar radiation; uplooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking near-IR radiation; uplooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking solar radiation; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),downward looking near-IR radiation; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),downward looking red solar  Bunker; downlooking Eppley Lab precision spectral pyranometer w/ IR filter; (Watts/meter^2),upward looking longwave radiation; uplooking Eppley lab precision infrared long wave radiometer; (Watts/meter^2),Upward Looking longwave voltage; uplooking Eppley lab precision infrared long wave radiometer; (millivolts),PIR case temp; uplooking Eppley lab precision infrared long wave radiometer; (Kelvin),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),SUN flag; uplooking Sunshine pyranometer  direct and diffuse; (bit)
2019-04-03 00:00:00,-9.80,-10.80,0.70,0.80,0.60,0.90,176.00,-127.60,270.50,0.60,0.00,0.00
2019-04-03 00:01:00,-9.70,-10.70,0.70,0.90,0.60,0.90,176.30,-127.30,270.50,0.70,0.00,0.00
2019-04-03 00:02:00,-9.70,-10.70,0.70,0.90,0.70,0.90,176.10,-127.40,270.50,0.60,0.00,0.00
2019-04-03 00:03:00,-9.80,-10.80,0.70,0.90,0.70,0.80,176.00,-127.40,270.50,0.50,0.00,0.00
2019-04-03 00:04:00,-9.70,-10.70,0.70,0.90,0.70,0.90,176.40,-127.00,270.50,0.50,0.00,0.00
2019-04-03 00:05:00,-9.40,-10.40,0.70,1.00,0.80,1.00,176.90,-126.60,270.50,0.80,0.00,0.00
2019-04-03 00:06:00,-9.30,-10.30,0.70,1.00,0.90,1.00,176.00,-127.50,270.50,0.80,0.00,0.00
2019-04-03 00:07:00,-9.40,-10.40,0.70,1.00,0.80,1.00,176.20,-127.30,270.50,0.80,0.00,0.00
2019-04-03 00:08:00,-9.40,-10.40,0.80,1.00,0.70,1.00,176.70,-126.70,270.50,0.80,0.00,0.00
2019-04-03 00:09:00,-9.20,-10.20,0.70,1.10,0.80,1.00,176.90,-126.50,270.50,0.70,0.00,0.00
